word,level
и,A1
не,A1
что,A1
с,A1
это,A1
у,A1
из,A1
мочь,A1
человек,A1
ещё,A1
только,A1
кто,A1
да,A1
говорить,A1
или,A1
нет,A1
большой,A1
другой,A1
где,A1
есть,A1
там,A1
потом,A1
очень,A1
хотеть,A1
без,A1
дом,A1
тоже,A1
можно,A1
здесь,A1
спросить,A1
октябрь,A1
жить,A1
работа,A1
понимать,A1
хорошо,A1
вода,A1
любить,A1
россия,A1
маленький,A1
сегодня,A1
сколько,A1
быстро,A1
девушка,A1
медленно,A1
купить,A1
рубль,A1
трудно,A1
счёт,A1
помочь,A1
чай,A1
спасибо,A1
пожалуйста,A1
правильно,A1
вино,A1
ресторан,A1
пиво,A1
стоить,A1
кофе,A1
гостиница,A1
холодно,A1
такси,A1
туалет,A1
носок,A1
красиво,A1
жарко,A1
свободно,A1
вкусно,A1
бар,A1
супермаркет,A1
по-русски,A1
здравствуйте,A1
банкомат,A1
извините,A1
он,A1
я,A1
она,A1
они,A1
мы,A1
ты,A1
вы,A1
оно,A1
до свидания,A1
меня,A1
тебя,A1
вас,A1
мне,A1
тебе,A1
вам,A1
зовут,A1
в,A2
на,A2
а,A2
как,A2
но,A2
к,A2
так,A2
сказать,A2
от,A2
который,A2
о,A2
такой,A2
какой,A2
для,A2
уже,A2
когда,A2
вот,A2
год,A2
знать,A2
если,A2
до,A2
время,A2
рука,A2
даже,A2
чтобы,A2
раз,A2
глаз,A2
первый,A2
день,A2
ничто,A2
надо,A2
голова,A2
видеть,A2
теперь,A2
идти,A2
друг,A2
сейчас,A2
после,A2
слово,A2
место,A2
думать,A2
лицо,A2
тогда,A2
новый,A2
каждый,A2
хороший,A2
почему,A2
смотреть,A2
просто,A2
нога,A2
никто,A2
перед,A2
конечно,A2
город,A2
несколько,A2
начать,A2
час,A2
пока,A2
последний,A2
хотя,A2
всегда,A2
стол,A2
машина,A2
ночь,A2
женщина,A2
ребёнок,A2
выйти,A2
отец,A2
вопрос,A2
работать,A2
почти,A2
снова,A2
старый,A2
страна,A2
между,A2
много,A2
деньги,A2
значить,A2
минута,A2
ждать,A2
никогда,A2
найти,A2
жена,A2
мать,A2
улица,A2
далёкий,A2
комната,A2
помнить,A2
назад,A2
прошлый,A2
прямо,A2
долго,A2
сын,A2
поэтому,A2
читать,A2
месяц,A2
молодой,A2
мама,A2
иногда,A2
брат,A2
откуда,A2
туда,A2
мало,A2
слишком,A2
следующий,A2
солнце,A2
неделя,A2
войти,A2
спать,A2
искать,A2
семья,A2
муж,A2
тихо,A2
снег,A2
ехать,A2
собака,A2
проблема,A2
вчера,A2
вещь,A2
далеко,A2
завтра,A2
плохо,A2
обычно,A2
красивый,A2
пить,A2
деревня,A2
нравиться,A2
многие,A2
холодный,A2
родитель,A2
секунда,A2
выход,A2
быстрый,A2
долгий,A2
тихий,A2
сестра,A2
дождь,A2
станция,A2
стул,A2
свободный,A2
кровать,A2
папа,A2
дорогой,A2
малый,A2
умный,A2
плохой,A2
нормальный,A2
клуб,A2
грязный,A2
громко,A2
остановить,A2
еда,A2
платить,A2
билет,A2
родиться,A2
учить,A2
текст,A2
автобус,A2
кошка,A2
трудный,A2
вход,A2
болеть,A2
готовить,A2
полиция,A2
среда,A2
куртка,A2
лучше,A2
подруга,A2
дочка,A2
громкий,A2
погода,A2
везде,A2
ботинок,A2
пакет,A2
привет,A2
нигде,A2
правильный,A2
дешёвый,A2
голодный,A2
метро,A2
недалеко,A2
кафе,A2
воскресенье,A2
суп,A2
нормально,A2
суббота,A2
жаркий,A2
напиток,A2
направо,A2
налево,A2
медленный,A2
кушать,A2
вкусный,A2
понедельник,A2
уютный,A2
пятница,A2
салат,A2
четверг,A2
меню,A2
вторник,A2
недалёкий,A2
шторм,A2
хобби,A2
эскалатор,A2
что-то,A2
кто-то,A2
где-то,A2
спаржа,A2
несколькие,A2
один,A2
два,A2
три,A2
пять,A2
четыре,A2
десять,A2
шесть,A2
семь,A2
восемь,A2
девять,A2
его,A2
её,A2
их,A2
доброе утро,A2
добрый день,A2
добрый вечер,A2
потому что,A2
фитнес,A2
кредитная карта,A2
все,A2
нас,A2
ему,A2
ей,A2
нам,A2
им,A2
простите,A2
чем,A2
мем,A2
вай-фай,A2
тот,B1
быть,B1
весь,B1
по,B1
за,B1
же,B1
этот,B1
бы,B1
себя,B1
мой,B1
самый,B1
ни,B1
стать,B1
свой,B1
дело,B1
под,B1
